,artist_name,RelatedArtist_Name,rank,external_urls__spotify,followers__total,genres__001,genres__002,genres__003,genres__004,genres__005,id,Large_image,Medium_image,Small_image,popularity,type
138,16B,Sunny Lax,19,https://open.spotify.com/artist/0cCOt2mcZfspvOOhY8TdmD,27279,edm,progressive house,progressive trance,progressive trance house,trance,0cCOt2mcZfspvOOhY8TdmD,https://i.scdn.co/image/bbb0f019136e9b4fea7792805f71656e1f4f1437,https://i.scdn.co/image/c8225547b7ba2bcf4b2c57fd3fab6a69b893ff45,https://i.scdn.co/image/f9f641dc77aa3a10e7555de0c430ca85d6aba1f7,46,artist
139,16B,Cubicolor,20,https://open.spotify.com/artist/4nMIbZxtt1kWqUZ8VNKvjU,50665,progressive house,,,,,4nMIbZxtt1kWqUZ8VNKvjU,https://i.scdn.co/image/81f1460206c716bdd6c8160fa00ce445870541ec,https://i.scdn.co/image/5a726a2ab30380e0d2706269b16ea7a3db295f41,https://i.scdn.co/image/948cb7f91e1dd0dd74e5267cc19f6989554ea09e,53,artist
140,17 Memphis,Cash Campbell,1,https://open.spotify.com/artist/57niI6IBcl5QLGLY45pEdw,7309,country pop,,,,,57niI6IBcl5QLGLY45pEdw,https://i.scdn.co/image/e012db8727b5dd7c9f5936b2ea9125c20a9d26ef,https://i.scdn.co/image/f01a3e5af6b4692fae24d0a4bb0df424c62eac89,https://i.scdn.co/image/6f3241f2541fdf7a052ec62824dfd6f945ea6c45,38,artist
141,17 Memphis,Luke Pell,2,https://open.spotify.com/artist/4a7Lph9rg3M7YU0sbGay0e,10205,country pop,,,,,4a7Lph9rg3M7YU0sbGay0e,https://i.scdn.co/image/5850adb100377d4863dba7a85a63e31e7a1b65af,https://i.scdn.co/image/64717b74fc31b4dd1f82f9b152d736757345aca1,https://i.scdn.co/image/105a9f7826e8586bb7ad4448f923437ea8fb29d8,32,artist
142,17 Memphis,Josh Mirenda,3,https://open.spotify.com/artist/5zmTJA6eWcsmxevyQoK9iB,4179,country pop,,,,,5zmTJA6eWcsmxevyQoK9iB,https://i.scdn.co/image/676f347e1ae73ca5dc31357bad8ffa857a8670a2,https://i.scdn.co/image/2420ee1c28312919c8c144721b97017e902e71c0,https://i.scdn.co/image/48d133c9884d9f5d879b592920500e28e2904630,37,artist
143,17 Memphis,Livy Jeanne,4,https://open.spotify.com/artist/0BBr2UBxbwwmG9yLEr8mR5,4683,alberta country,canadian contemporary country,canadian country,country pop,,0BBr2UBxbwwmG9yLEr8mR5,https://i.scdn.co/image/f092498cfcab837eb2ca32904e0705d51f2cf5ee,https://i.scdn.co/image/7a82c1fdcedda54183508f68c415166dac22dc0b,https://i.scdn.co/image/e0ec6ea01491c7ef0c6721ad8eee1e8f39cab571,23,artist
144,17 Memphis,Tyler Braden,5,https://open.spotify.com/artist/63wjVVauFUQ4gBw6QXTT5N,18219,contemporary country,country pop,,,,63wjVVauFUQ4gBw6QXTT5N,https://i.scdn.co/image/1c7dffdb9244420f0c787f10a3581a2f2b7ae799,https://i.scdn.co/image/1b80006d70d2c9c3801addabadb8b1d64581b67b,https://i.scdn.co/image/3b609743fe6ec550e89d8c94a003e5df5cd5e035,53,artist
145,17 Memphis,Seth Alley,6,https://open.spotify.com/artist/03iUAGyJwZiIhAF6PcSoxt,2586,country pop,,,,,03iUAGyJwZiIhAF6PcSoxt,https://i.scdn.co/image/5e3dcc1e78a544a07a8a1bdc03118c1c10c4ab13,https://i.scdn.co/image/8e3620a9237d75a66c6d1dd4433345b96cd457f8,https://i.scdn.co/image/ba7feed2c259d3e213ce9d14d3c8944ff2f15972,40,artist
146,17 Memphis,Spencer Crandall,7,https://open.spotify.com/artist/6to2NJmRWY1h7rLU4c9TyG,57766,contemporary country,country pop,,,,6to2NJmRWY1h7rLU4c9TyG,https://i.scdn.co/image/c26cb6cbb7e25ade87557cf58be1bcff994730b5,https://i.scdn.co/image/c44f1500b9df75d527914e3077f6037faf1b2588,https://i.scdn.co/image/2303a2115424dd05ff901ad232c868be3beb2f02,58,artist
147,17 Memphis,Jake Rose,8,https://open.spotify.com/artist/6uj6GUVOExWu9W98Gq5i98,3812,country pop,,,,,6uj6GUVOExWu9W98Gq5i98,https://i.scdn.co/image/6748ca4d6d71f4470c602b68b7473b1a8efb9af9,https://i.scdn.co/image/4bdae434d1e6a571d2efa277f89de002cd6b49d4,https://i.scdn.co/image/f5db513bccd7237c60090692623b7fad32e2e29c,30,artist
